#REFERENCE 3 24.1631451 0.1384420
   #ID       X         Y         R       EPS       TAU       AMP       E_AMP      DMAG  TIME[days]  DTIME    PARITY
    B1     1.161    -2.988     3.205     1.000    69.160    16.992     5.066      3.08    -287.1       0.0    ++
    B1    -2.702    -1.165     2.942     1.000    50.757     6.425     1.384      2.02    -317.2     -30.1    +-
    B1     0.515     3.409     3.447     1.000    48.575     5.632     0.881      1.88    -345.3     -58.2    ++
    B1     2.678    -1.802     3.228     0.000     0.000    15.294     3.065      2.96    -327.1     -39.9    +-
    B2    -2.706    -1.154     2.942     1.000    83.458     6.399     1.381      2.02    -317.5     -30.4    +-
    B2     2.691    -1.785     3.229     1.000    68.775    15.017     2.985      2.94    -327.8     -40.6    +-
    B2     0.517     3.407     3.446     0.998    15.633     5.644     0.885      1.88    -345.0     -57.9    ++
    B2     1.153    -2.992     3.207     0.000     0.000    16.740     4.921      3.06    -287.3      -0.2    ++
    B3     1.214    -2.969     3.208     1.000    86.856    17.617     5.346      3.11    -288.3      -1.1    ++
    B3     2.666    -1.824     3.231     1.000    52.605    15.946     3.294      3.01    -327.1     -39.9    +-
    B3     0.534     3.406     3.448     0.999    19.931     5.637     0.882      1.88    -345.4     -58.3    ++
    B3    -2.704    -1.153     2.939     0.000     0.000     6.350     1.361      2.01    -316.9     -29.8    +-
