chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
 0     B4 1.000   1      0.16    0.00    0.00    0.00   0.055    0.08   -0.05   -0.06  0
 0     B3 1.000   1      0.05    0.00    0.00    0.00   0.019    0.04    0.04   -0.01  0
 0     B2 1.000   1      0.06    0.00    0.00    0.00   0.031    0.05    0.03    0.04  0
 0     B1 1.000   1      0.24    0.00    0.00    0.00   0.043    0.10   -0.07   -0.07  0
 0     B4 1.000   4      0.51    0.00    0.00    0.00   0.039    0.07    N/A     N/A   0
chimul                   0.51    0.00    0.00    0.00   0.039    0.07    N/A     N/A   0
log(Likelihood)          5.27

chitot           0.51
log(Likelihood)    5.27
